"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
1982,"Hawaii",18,5,0.28,0,0,0,0,1041835,0
1982,"Iowa",300,222,0.74,0,0,0,0,2917664,0
1982,"Idaho",154,97,0.63,0,0,1,0.01,987754,0
1982,"Illinois",1188,671,0.56,0,0,1,0.00,11553548,0
1982,"Indiana",451,281,0.62,0,0,0,0,5484374,0
1982,"Kansas",474,245,0.52,0,0,3,0.01,2442269,0
1982,"Kentucky",725,469,0.65,0,0,0,0,3678626,0
1982,"Louisiana",315,133,0.42,0,0,0,0,4379987,0
1982,"Massachusetts",512,292,0.57,0,0,0,0,5786183,0
1982,"Maryland",225,157,0.70,0,0,0,0,4343762,0
1982,"Maine",244,131,0.54,0,0,1,0.01,1144555,0
1982,"Michigan",867,648,0.75,0,0,0,0,9272139,0
1982,"Minnesota",498,285,0.57,0,0,0,0,4147125,0
1982,"Missouri",731,237,0.32,0,0,1,0.00,5034639,0
1982,"Mississippi",278,147,0.53,0,0,0,0,2551000,0
1982,"Montana",149,82,0.55,0,0,0,0,870804,0
1982,"Nebraska",340,145,0.43,0,0,0,0,1661688,0
1982,"North Carolina",831,422,0.51,0,0,0,0,6024181,0
1982,"North Dakota",146,76,0.52,0,0,0,0,675030,0
1982,"New Hampshire",264,115,0.44,0,0,0,0,1062106,0
1982,"New Jersey",657,513,0.78,0,0,0,0,7441411,0
1982,"New Mexico",163,78,0.48,0,0,0,0,1362303,0
1982,"Nevada",80,28,0.35,0,0,0,0,886170,0
1982,"New York",1178,795,0.67,0,0,0,0,18864583,0
1982,"Ohio",935,449,0.48,0,0,1,0.00,11035040,0
1982,"Oklahoma",506,292,0.58,0,0,0,0,3204221,0
1982,"Oregon",305,253,0.83,0,0,0,0,2655904,0
1982,"Pennsylvania",1892,1150,0.61,0,0,14,0.01,12090006,0
1982,"Puerto Rico",25,0,0,0,0,0,0,3045000,0
1982,"Rhode Island",63,44,0.70,0,0,0,0,962568,0
1982,"South Carolina",576,208,0.36,0,0,0,0,3260946,0
1982,"South Dakota",194,60,0.31,0,0,0,0,703588,0
1982,"Tennessee",606,248,0.41,0,0,0,0,4662895,0
1982,"Texas",1295,753,0.58,0,0,0,0,15451085,0
1982,"Utah",203,106,0.52,0,0,1,0.01,1581972,0
